,Au,Az,B prime,B/G,Bulk modulus,C11,C12,C44,Crystal structure,Formation enthalpy,Lattice constant,Poisson ratio,Shear modulus,Total energy,Wigner-Seitz radius,Youngs modulus,Co,Cr,Zr,Fe,Al,Mo,Ta,Cu,W,V,Mn,Hf,Pt,Nb,Ni
211,0.5409267591110751,1.9336030766400416,4.4480860699499045,2.1249854850620866,164.78616374691825,234.45963825721225,129.94942649177125,101.04063350497952,0,0.0086532542145505,3.1886205403977765,0.2966089685932774,77.54695968763458,-4909.939690076386,2.96685060358073,201.09616683625669,0.0,0.0,0.0,0.19354839,0.25806452,0.22580645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32258065,0.0
212,1.334897941076763,2.748592357373219,4.342514310691136,2.1272415982057127,133.88492225151506,179.66016925891643,110.99729874781436,94.36312056106108,0,0.0023579307385261,3.204421733761139,0.2967954588209761,62.93827761004882,-3531.903444363462,2.9815528171158463,163.23614518145044,0.0,0.0,0.0,0.2,0.26666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.33333333,0.0
213,0.5443612325090728,1.937507262922996,4.38371031073371,2.1071484870916017,178.47791356721038,254.48744882563707,140.47314593799703,110.45176996095245,0,0.0144032215303013,3.1955383974800187,0.2951224238527864,84.70115640191787,-11698.11054225587,2.973287320712764,219.3967339647717,0.0,0.0,0.0,0.18181818,0.24242424,0.0,0.0,0.0,0.27272727,0.0,0.0,0.0,0.0,0.3030303,0.0
214,3.90389105777383,5.055435659201492,4.653243702937644,2.4169499350129175,165.15393831669545,199.14201765994804,148.15989864506915,128.86841122473658,0,0.005927700002303,2.997809249192334,0.3182005447385604,68.33155123497119,-3251.255878818598,2.7893103201538834,180.14937612153977,0.0,0.0,0.0,0.22580645,0.25806452,0.19354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32258065
215,2.6642029685598008,3.968163388135344,4.448275756952684,2.0935349757231037,159.19964184877554,203.329717106882,137.13460421972232,131.3365117161566,0,-0.0107328659639733,2.9180968614809,0.2939731636306219,76.0434593617373,-2034.508620163164,2.7151419634622376,196.7963913674477,0.0,0.0,0.0,0.20588235,0.23529412,0.0,0.0,0.0,0.0,0.26470588,0.0,0.0,0.0,0.0,0.29411765
216,0.7908822128397865,2.2056971033118864,4.3404583898729925,1.8589791344799835,178.69844126878354,258.518504994312,138.7884094060193,132.04416250917626,0,0.0137972866232303,3.0718969476777658,0.2719303213657695,96.12719043173728,-10465.587985722976,2.8582451871863803,244.53417643565624,0.0,0.0,0.0,0.28571429,0.22857143,0.0,0.0,0.0,0.28571429,0.2,0.0,0.0,0.0,0.0,0.0
217,0.8190308341959724,2.2351230303299694,4.3258096495914655,1.759692365273143,163.8463082717985,240.5495569028475,125.49468395627405,128.58089813728745,0,0.0048218497095149,3.024993666548583,0.2611113899208706,93.11076839636452,-6370.375489039911,2.814604049532957,234.84610109787909,0.0,0.0,0.0,0.3030303,0.24242424,0.0,0.0,0.0,0.15151515,0.3030303,0.0,0.0,0.0,0.0,0.0
218,6.028831753177254,6.878649078208612,3.7485354771424455,2.430234615768351,112.60661220259784,131.38608496197594,103.2168758229088,96.88305223915488,0,-0.0079513453083563,3.298719499935305,0.3190744685099824,46.335695933207575,-7281.068088843108,3.0692921328938345,122.24046697227188,0.0,0.0,0.0,0.0,0.33333333,0.0,0.0,0.0,0.0,0.0,0.0,0.20833333,0.41666667,0.0,0.04166667
219,4.18062918947939,5.295000254316792,4.11190118089428,2.117803351975641,111.37131011613938,136.75264249185722,98.68064392828047,100.79562103824372,0,0.0144222662856918,3.171163638117341,0.2960130077621627,52.58812628294507,-8622.689960549282,2.9506078363993775,136.30979143307218,0.0,0.0,0.0,0.0,0.23529412,0.0,0.0,0.0,0.0,0.0,0.29411765,0.23529412,0.0,0.0,0.23529412
220,4.6072641394417,5.662795558686222,4.06216448649307,2.4713350254936843,106.4901983059243,126.39049400623348,96.54005045576972,84.51847958118995,0,0.0090704016602103,3.406963035449487,0.3217258028292826,43.090150549155666,-10015.74480127774,3.1700072837263953,113.90672765723484,0.0,0.0,0.3030303,0.0,0.24242424,0.0,0.0,0.0,0.0,0.21212121,0.0,0.24242424,0.0,0.0,0.0
221,2.9189746090010473,4.194045570829914,3.3940303156793106,2.646768383322202,122.74675555593632,148.73952534093198,109.7503706634385,81.76114574277197,0,-0.0006642510870733,3.4367054317760446,0.3322204919363851,46.37608501347806,-11479.318542888288,3.1976810835327454,123.56634158147872,0.0,0.0,0.27027027,0.0,0.21621622,0.0,0.0,0.0,0.0,0.0,0.0,0.24324324,0.0,0.27027027,0.0
222,2.861706082591386,4.143407840020647,3.6988054472739456,2.177940908464689,115.80290090607674,145.83303332404944,100.7878346970904,93.32031457311469,0,0.008478100557113,3.331791308778408,0.3008978901316608,53.17081857271808,-12024.759179608043,3.1000637831371174,138.33961139564457,0.0,0.0,0.0,0.0,0.25806452,0.0,0.0,0.0,0.0,0.0,0.19354839,0.32258065,0.0,0.22580645,0.0
223,0.6231590269321519,2.025624203183009,3.672390182979509,1.7270402454981355,140.75243676141494,211.96812088195855,105.14459470114312,108.1921600506068,0,-0.0042211505715386,3.135949700190744,0.2573255621519023,81.49922222618342,-3677.8681324343393,2.9178430430762603,204.94211080095775,0.0,0.0,0.0,0.0,0.27586207,0.34482759,0.0,0.0,0.0,0.0,0.17241379,0.0,0.20689655,0.0,0.0
224,0.8354768429082835,2.2522254109793285,3.265510046998432,1.6123750403658823,143.48016265263254,216.45171066676696,106.99438864556534,123.26128103694876,0,0.0060656653677142,3.1432504973508477,0.2430241824732495,88.9868418082643,-11733.227850766834,2.9246360666382207,221.2255925791882,0.0,0.0,0.0,0.0,0.26666667,0.0,0.0,0.0,0.33333333,0.0,0.2,0.0,0.2,0.0,0.0
225,3.7595653267906286,4.930136985016962,4.479686471142381,2.2040431577812,148.18472701475935,182.17374384016176,131.19021860205817,125.67788170146012,0,0.0054146134302754,3.0151128716272746,0.3029460737297298,67.23313311338978,-3199.66239335117,2.805410468169248,175.202293629279,0.0,0.0,0.0,0.0,0.25806452,0.19354839,0.0,0.0,0.0,0.0,0.22580645,0.0,0.0,0.0,0.32258065
